Date,Open,High,Low,Close,Adj Close,Volume
2018-08-29,124.330002,125.730003,124.250000,125.550003,123.887016,24500
2018-08-30,124.699997,125.800003,124.559998,124.989998,123.334427,38800
2018-08-31,124.709999,125.339996,123.870003,124.269997,122.623962,25000
2018-09-04,121.769997,122.410004,121.650002,121.970001,120.354431,26800
2018-09-05,121.610001,121.650002,119.970001,120.570000,118.972969,21300
2018-09-06,120.339996,120.620003,119.250000,119.849998,118.262505,27800
2018-09-07,119.470001,120.209999,119.080002,119.599998,118.015823,17100
2018-09-10,120.330002,120.839996,120.250000,120.500000,118.903900,50600
2018-09-11,118.050003,120.419998,118.000000,120.419998,118.824959,64600
2018-09-12,121.930000,122.980003,121.459999,122.139999,120.522179,24600
2018-09-13,122.760002,123.250000,122.339996,122.870003,121.242508,125900
2018-09-14,122.750000,123.050003,121.940002,122.309998,120.689926,25700
2018-09-17,121.849998,122.059998,121.309998,121.309998,119.703171,25900
2018-09-18,122.230003,123.190002,122.199997,122.699997,121.074760,55200
2018-09-19,122.050003,122.459999,121.860001,122.000000,120.384033,19600
2018-09-20,123.180000,123.800003,122.820000,123.699997,122.061508,29700
2018-09-21,124.000000,124.410004,123.620003,123.720001,122.081253,29700
2018-09-24,124.000000,124.000000,122.330002,122.470001,120.847809,17600
2018-09-25,123.230003,124.230003,123.230003,123.930000,122.288467,13700
2018-09-26,121.599998,123.470001,121.599998,122.639999,121.015556,31100
2018-09-27,123.220001,123.709999,122.800003,122.940002,121.311584,20600
2018-09-28,121.629997,122.660004,121.629997,122.160004,120.541916,14500
2018-10-01,124.099998,124.099998,123.440002,123.610001,121.972710,13100
2018-10-02,122.870003,123.370003,122.779999,123.019997,121.390518,22700
2018-10-03,123.470001,123.989998,122.980003,123.489998,121.854294,33700
2018-10-04,121.709999,121.779999,119.949997,120.459999,118.864426,22900
2018-10-05,119.610001,120.099998,118.949997,119.589996,118.005951,25100
2018-10-08,117.980003,119.000000,117.879997,118.870003,117.295494,16400
2018-10-09,115.849998,117.720001,115.820000,117.410004,115.854836,30100
2018-10-10,113.440002,113.440002,111.410004,111.550003,110.072449,44900
2018-10-11,112.379997,112.720001,110.449997,111.279999,109.806023,32800
2018-10-12,112.870003,112.870003,110.470001,111.699997,110.220459,44800
2018-10-15,112.470001,113.309998,112.379997,112.959999,111.463768,32300
2018-10-16,114.980003,116.150002,114.980003,116.150002,114.611519,30100
2018-10-17,116.839996,117.050003,115.919998,116.309998,114.769394,26800
